"SOCC Verison
mc2-4x4",baseline-float,,,baseline-fixed,,,,,,,SOCC Verison,model,mc2_4x4,mc4_4x4,mc4_8x8,mc8_8x8,,,,,,,,,,,,,,,,,,,,,,,
lenet-randome,21178213,18525122,16199367,5849232,,5373406,,4857909,,,,lenetlayers,21701,21631,6192,5528,,,,,,,,,,,,,,,,,,,,,,,
lenet-trained,21458990,17473331,14590875,5840312,,4803903,,3741965,,,,,3644,3557,1055,924,,,,,,,,,,,,,,,,,,,,,,,
vgg-random,627890641,493926234,438820706,172494247,,131426276,,124826079,,,,,18728,17057,9227,4816,,,,,,,,,,,,,,,,,,,,,,,
darknet64,13739180266,11861466407,9906869199,4193610478,,3909065297,,2480505268,,,,,1260,1242,385,360,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3870,2786,2146,1363,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,873,761,643,373,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,145,117,172,128,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,Float BTs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,o0 baseline,21458990,16596952,26586230,21362724,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,o1 aff,17824032,13827072,22074900,17780024,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,compared with data-if float-based ordein,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,
LeNet,randomeval,float,2mc_4x4,case1_default,21178213,5849232,0,100,,LeNet,randomeval,fixed,2mc_4x4,case1_default,21178213,5849232,100,0,,LeNet,fulleval,float,2mc_4x4,case1_default,21458990,5840312,0,100,,LeNet,fulleval,fixed,2mc_4x4,case1_default,21458990,5840312,100,0,
LeNet,randomeval,float,2mc_4x4,case2_TACOall128BitInvert,20979717,5492404,-0.9372651035,100,,LeNet,randomeval,fixed,2mc_4x4,case2_TACOall128BitInvert,20979717,5492404,100,-6.100424808,,LeNet,fulleval,float,2mc_4x4,case2_TACOall128BitInvert,20945574,5201168,-2.392545036,100,,LeNet,fulleval,fixed,2mc_4x4,case2_TACOall128BitInvert,20945574,5201168,100,-10.94366191,
LeNet,randomeval,float,2mc_4x4,case3_PartialBusInvert,19511551,4153120,-7.86970081,100,,LeNet,randomeval,fixed,2mc_4x4,case3_PartialBusInvert,19511551,4153120,100,-28.99717433,,LeNet,fulleval,float,2mc_4x4,case3_PartialBusInvert,19053768,3107254,-11.20845855,100,,LeNet,fulleval,fixed,2mc_4x4,case3_PartialBusInvert,19053768,3107254,100,-40.25853424,
LeNet,randomeval,float,2mc_4x4,case4_affiliatedordering,18804924,5486609,-11.206276,108.9111208,,LeNet,randomeval,fixed,2mc_4x4,case4_affiliatedordering,18903208,5037694,100.5226503,-13.87426589,,LeNet,fulleval,float,2mc_4x4,case4_affiliatedordering,17821414,4931672,-16.95129174,137.6365573,,LeNet,fulleval,fixed,2mc_4x4,case4_affiliatedordering,17701885,3583112,99.32929564,15.31442232,
